"","Category","dbID","siteID","SiteName","SubTitle","Lat","Lon","Desc","Sview","Sviewlat","Sviewlong","Heading","Zoom","Pitch","top","mapzoom","sponsor","Categ","ImageN","Image1","Image2","Image3","Image4"
"376","Historic","347","S64","Whitney Block","Queen's Park","43.662745",-79.390158,"This fine example of a neo-gothic style skyscraper of the 1920's built with Queenston <a href=""/def/limestone"">Limestone</a> quarried at the Queenston Quarry. It was completed in 1926 and the tower was added in 1932. Look out for ornaments on the face of the building that depicts Ontario's mining industry. It is located on: 99 Wellesley Street, Toronto.","y",NA,NA,71.4,0,-25.17,"n",16,"",3,NA,"sitePictures/s64a.png","sitePictures/s64b.png","sitePictures/s64c.png","sitePictures/s64d.png"
"377","Historic","348","S65","Royal Ontario Museum","","43.6685",-79.394353,"The Royal Ontario Museum on Bloor Street north of Queen's Park was opened in 1914 as 'the University of the People' and underwent a major expansion in 1933 and more controversially with the addition of the Michael Lee-Chin Crystal in 2007. It has a notable collection of dinosaurs and minerals. 100 Queens Park, Toronto, ON M5S 2C6","y",NA,NA,215.53,0,-15.89,"n",17,"",3,NA,"sitePictures/s65a.png","sitePictures/s65b.png","sitePictures/s65c.png","sitePictures/s65d.png"
"378","Rocks and Minerals","349","S66","Department of Earth Sciences Rock Walk","","43.660369",-79.398861,"The rock walk outside the Department of Earth Sciences on the University of Toronto campus (at the intersection of Russell Street and Huron Street, just north of College and west of Spadina Avenue) has a fine collection of Ontario's most common rock types from the Canadian <a href=""/def/shield"">Shield</a>. These include stretched pebble <a href=""/def/conglomerates"">Conglomerates</a> from near Kaladar (Sites <a href=""/E9"">E9</a>, <a href=""/E10"">E10</a>), and <a href=""/def/nepheline_syenite"">Nepheline Syenite</a> (<a href=""/C62"">C62</a>).","y",NA,NA,304.72,0,3.23,"n",17,"b",5,NA,"sitePictures/s66a.png","sitePictures/s66b.png","sitePictures/s66c.png","sitePictures/s66d.png"
"379","Historic","350","S67","Schoellkopf Geologic Museum","","43.093435",-79.062024,"Schoellkopf Geologic Museum is an excellent place to begin your exploration of the Niagara gorge. An interpretation center explains the origin of the gorge, and access points for hikes. Note the collapsed powerplant that occurs behind the museum site (<a href=""/S48"">S48</a>).","y",43.093104,-79.061533,304.06,0,-2.83,"n",16,"",3,NA,"sitePictures/s67a.png","sitePictures/s67b.png","sitePictures/s67c.png","sitePictures/s67d.png"
"380","Historic","351","S68","A.P Coleman","","43.695137",-79.38485,"A.P. Coleman (1852-1932) was Professor of Geology at the University of Toronto and discovered the warm climate deposits about 100,000 years old in the Don Valley Brickyard (Site <a href=""/S15"">S15</a>). He is also credited with first recognizing the much older (2.4 billion years) glacial deposits of the Gowganda<a href=""/def/_formation ""> Formation </a>in northern Ontario (Sites <a href=""/N8"">N8</a>, <a href=""/N9"">N9</a>, <a href=""/N10"">N10</a>).  Fittingly, his memorial stone in Mount Pleasant Cemetrey in Toronto (Section 20, Lot 98) is a large glacial <a href=""/def/erratic"">Erratic</a> boulder carried south from the Canadian <a href=""/def/shield"">Shield</a> by the last great <a href=""/def/ice_sheet"">Ice sheet</a> to have invaded Ontario about 20,000 years ago. Coleman made the first detailed geology map of the city of Toronto (1913).","n",NA,NA,NA,NA,NA,"n",13,"",3,NA,"sitePictures/s68a.png","sitePictures/s68b.png","sitePictures/s68c.png","sitePictures/s68d.png"
"381","Historic","352","S69","Bancroft Marble at the Guild Inn","","43.747944",-79.191857,"<a href=""/def/marble"">Marble</a> is a very common metamorphic rock across the easternmost part of the Canadian <a href=""/def/shield"">Shield</a> in central Ontario (Sites <a href=""/E2"">E2</a>, <a href=""/E4"">E4</a>, <a href=""/E44"">E44</a>).  Usually it is of too poor quality to quarry as a building stone it has only been rarely used as such with a notable exception. The Bank of Toronto (built in 1912 and demolished in 1966) used <a href=""/def/marble"">Marble</a> from Bancroft (See Site <a href=""/C50"">C50</a>). Columns and friezes are preserved as part of a Greek theatre within the grounds of the Guild Inn in Scarborough now popular as a background for wedding parties.","n",NA,NA,NA,NA,NA,"n",16,"",3,NA,"sitePictures/s69a.png","sitePictures/s69b.png","sitePictures/s69c.png","sitePictures/s69d.png"
"382","Historic","353","S70","Canadian Imperial Bank of Commerce","","43.648799",-79.379203,"This splendid Art Deco building was designed by Pearson and Darling, and finished in 1930. It has a steel frame clad in <a href=""/def/limestone"">Limestone</a>. It was the tallest building in Canada until 1962. ","y",43.648865,-79.379238,122.04,0,-23.84,"n",17,"",3,NA,"sitePictures/s70a.png","sitePictures/s70b.png","sitePictures/s70c.png","sitePictures/s70d.png"
"383","Historic","354","S71","Canadian Volunteers Monument","","43.66265",-79.393342,"Built in 1870 at the eastern boundary of the University of Toronto campus at Queen's Park, to commemorate those men (many of whom were university students) who fought and died at the Battle of Ridgeway against the Fenians during the Fenian Raid of 1866 (Site <a href=""/S40"">S40</a>).","y",43.662694,-79.393064,261.77,0,-3.46,"n",17,"",3,NA,"sitePictures/s71a.png","sitePictures/s71b.png","sitePictures/s71c.png","sitePictures/s71d.png"
"384","Rocks and Minerals","355","S72","College Park","","43.660929",-79.383302,"The old Eaton's Department store on the corner of College and Yonge Streets in Toronto is constructed of the famous 'Tyndall Stone' which is a <a href=""/def/limestone"">Limestone</a> quarried in Manitoba. It is one of the most popular building stones in Canada because of its attractive mottled appearance and warm colour. It was used extensively in the interior of the Parliament Buildings in Ottawa (Site <a href=""/E23"">E23</a>). The mottled appearance is due to '<a href=""/def/bioturbation"">Bioturbation</a>' (mixing) by animals when the <a href=""/def/limestone"">Limestone</a> was still very soft<a href=""/def/_sediment ""> Sediment </a>on an ancient (<a href=""/def/ordovician"">Ordovician</a>) sea floor some 450 million years ago. The branching tube-like marks are burrows left by these organisms mining their way through<a href=""/def/_sediment ""> Sediment </a>in search of food.","y",43.660998,-79.382956,272.42,0,-29.66,"n",17,"",5,NA,"sitePictures/s72a.png","sitePictures/s72b.png","sitePictures/s72c.png","sitePictures/s72d.png"
"385","Historic","356","S73","Crimean Cannon","","43.662031",-79.391783,"The Crimean War between Britain, France, the Ottomans  and Russia lasted from 1853 to 1856 and was famous for the battle of Balak<a href=""/def/lava"">Lava</a> (October 1854), the heroic work of the nurse Florence Nightingale and the prolonged siege from 1854 to 1855 of the city of Sevastopol the capital of the Crimea. Queen Victoria sent a pair of cannon seized at Sevastopol to many important cities in the Empire and Toronto's can be found at the west entrance to Queen's Park. Metal from Sevastopol cannons has traditionally been used in the making of the Victoria Cross, Britain's highest award for gallantry.","y",43.661779,-79.391716,345.69,0,-3.62,"n",16,"",3,NA,"sitePictures/s73a.png","sitePictures/s73b.png","sitePictures/s73c.png","sitePictures/s73d.png"
"386","Historic","357","S74","The Light of Ages","Gibraltar Point Lighthouse","43.613252",-79.38475,"Gibraltar Point Lighthouse built in 1806 on Toronto Islands is the oldest stone building in Toronto. It is made of <a href=""/def/limestone"">Limestone</a> from Queenston and refurbished in 1832 with <a href=""/def/limestone"">Limestone</a> from Kingston (<a href=""/E41"">E41</a>).","y",NA,NA,320.11,1,-6.88,"n",17,"",3,NA,"sitePictures/s74a.png","sitePictures/s74b.png","sitePictures/s74c.png","sitePictures/s74d.png"
"387","Historic","358","S75","Gooderham and Worts Distillery","","43.65073",-79.35977,"This famous distillery was built in 1870 is made of <a href=""/def/limestone"">Limestone</a> shipped in from Kingston (site E41). In the 1920's it was the largest producer of whisky and spirits in Canada taking advantage of prohibition in the US.","y",NA,NA,159.89,0,-8.02,"n",16,"",3,NA,"sitePictures/s75a.png","sitePictures/s75b.png","sitePictures/s75c.png","sitePictures/s75d.png"
"388","Historic","359","S76","Re-inventing the Canadian Shield","The Graphic Arts Building and the Group of Seven","43.650906",-79.382447,"Until 1900, the Canadian <a href=""/def/shield"">Shield</a> was a place to avoid; full of rocks, impossible to farm. As Canada's urban areas grew quickly, the painters of the Group of Seven refashioned the image of the <a href=""/def/shield"">Shield</a> for city dwellers as a place for recreation and solitude. Many of the members of the Group, most notably Tom Thompson, were employed by an advertising company called 'The Grip' housed in the Graphic Arts Building built in 1912 on Adelaide Street in Toronto. It is located on 73 Richmond Street West. ","y",NA,NA,127.37,0,-29.9,"n",17,"",3,NA,"sitePictures/s76a.png","sitePictures/s76b.png","sitePictures/s76c.png","sitePictures/s76d.png"
"389","Historic","360","S77","Hamilton Museum of Steam and Technology","","43.256456",-79.771943,"Today we take clean drinking water for granted but in the 1850's 1 out of every 40 Hamiltonians were dying of cholera from contaminated drinking water. A new clean water supply was needed for the growing city and the solution was to pump water from Lake Ontario. The new pump house with a 45 m high chimney was designed by Thomas Keefer and opened in 1860 driven by two enormous 70 ton Woolf Compound steam engines. These ran until 1910 when electric pumps were installed but remained on stand-by service until 1938. Reconditioned in the 1970's, the pump house was opened as a museum in 1983 and is the last surviving example of a mid-19th century waterworks in North America.  The massive building is constructed of two rock types both found locally along the Niagara <a href=""/def/escarpment"">Escarpment</a>: Eramosa <a href=""/def/dolostone"">Dolostone</a>, and grey-coloured Whirlpool. You can find the Museum on 900 Woodward Avenue.","y",43.25649,-79.772898,84.89,0,-15.73,"n",16,"",3,NA,"sitePictures/s77a.png","sitePictures/s77b.png","sitePictures/s77c.png","sitePictures/s77d.png"
"390","Historic","361","S78","Hart House","University of Toronto","43.66375",-79.394444,"Financed by Vincent Massey at a total cost of $2 million a very large sum in the early twentieth century the Gothic design is intended to convey the authority and monumental solidity of European cathedrals. It is used as student centre with a famous theatre and debating club.  Soldiers' Tower completed in 1924 reminds us of the contribution made by University of Toronto students, staff and faculty who made the ultimate sacrifice in two World Wars. The cannons are from the French fortress of Louisbourg on Cape Breton Island, Nova Scotia, taken by the British in 1758; they were last fired in 1929 as a prank by engineering students.","y",43.663592,-79.394135,286.36,0,-12.82,"n",16,"b",3,NA,"sitePictures/s78a.png","sitePictures/s78b.png","sitePictures/s78c.png","sitePictures/s78d.png"
"391","Rocks and Minerals","362","S79","The Limestone Hockey Player","Ryerson University","43.658003",-79.378809,"The expression 'hands like stones' is often used in ice hockey for unskilled players. The player carved in 1962 out of Queenston <a href=""/def/limestone"">Limestone</a> quarried from the Niagara <a href=""/def/escarpment"">Escarpment</a> decorating the southeastern entrance to the Quadrangle at Ryerson University certainly has hands of stone. Fittingly, it occurs two blocks away from Maple Leaf Gardens the former home of Toronto's NHL team.","y",NA,NA,357.6,2,-23.33,"n",16,"",5,NA,"sitePictures/s79a.png","sitePictures/s79b.png","sitePictures/s79c.png","sitePictures/s79d.png"
"392","Historic","363","S80","McMaster Hall","","43.668182",-79.396372,"This impressive building at 273 Bloor Street West was constructed in 1881 to house McMaster College (the precursor to McMaster University in Hamilton established in 1930). It is built of red and grey colored Whirlpool <a href=""/def/sandstone"">Sandstone</a> from the base of the Niagara <a href=""/def/escarpment"">Escarpment</a> at Forks of the Credit (Site <a href=""/S51"">S51</a>). Today it is the home of the Royal Conservatory of Music","y",NA,NA,161.51,0,-17.78,"n",16,"b",3,NA,"sitePictures/s80a.png","sitePictures/s80b.png","sitePictures/s80c.png","sitePictures/s80d.png"
"393","Historic","364","S81","The New Face of Education","Toronto Normal and Model School at Ryerson University","43.658052",-79.379077,"The quadrangle at Ryerson University just east of Yonge Street, Toronto contains a striking façade of the original building that housed the first school for the formal training of school teachers in Ontario under the leadership of Egerton Ryerson. A 'Normal' school is meant to train teachers to teach students towards the social 'norm'.","y",43.657954,-79.379013,351.56,0,-16.99,"n",16,"",3,NA,"sitePictures/s81a.png","sitePictures/s81b.png","sitePictures/s81c.png","sitePictures/s81d.png"
"394","Historic","365","S82","Queen's Park","","43.662159",-79.391601,"Ontario's Legislative Building (aka 'the Pink Palace') is an iron-framed building clad in 'Credit Valley Red' <a href=""/def/sandstone"">Sandstone</a> of the <a href=""/def/silurian"">Silurian</a> Whirlpool<a href=""/def/_formation ""> Formation </a>cut from former quarries at the Forks of the Credit near the base of the Niagara <a href=""/def/escarpment"">Escarpment</a>. It was completed in 1893 (with several modifications since) and houses the Provincial Legislature. Given the closure of the quarries that cut this distinctively hued <a href=""/def/sandstone"">Sandstone</a>, the northern part of the building added in 1909 was made out of Sackville <a href=""/def/sandstone"">Sandstone</a> from New Brunswick which has a noticeably different deeper red coloration. The building is noted for its many ornate decorations reflecting the ease at which the Whirlpool could be carved; it was also used to great effect elsewhere in downtown Toronto in the construction of Old City Hall, at Victoria College (Site <a href=""/S88"">S88</a>) and McMaster Hall (Site <a href=""/S80"">S80</a>).","y",43.661861,-79.39151,352.76,0,-23.76,"n",16,"",3,NA,"sitePictures/s82a.png","sitePictures/s82b.png","sitePictures/s82c.png","sitePictures/s82d.png"
"395","Historic","366","S83","Royal Magnetic and Meteorological Observatory","","43.663139",-79.394993,"This was built of Kingston <a href=""/def/limestone"">Limestone</a> (Site <a href=""/E41"">E41</a>) in 1855 near Convocation Hall on the campus of the University of Toronto but was moved in 1907 to its present location near Hart House (Site <a href=""/S79"">S79</a>). It is associated with the astronomer John Henry Lefroy who in the 1840 helped establish the position of the north magnetic pole in northern Canada. This famous building now houses the administration for the Students' Council.","y",NA,NA,82.13,0,0,"n",16,"b",3,NA,"sitePictures/s83a.png","sitePictures/s83b.png","sitePictures/s83c.png","sitePictures/s83d.png"
"396","Rocks and Minerals","367","S84","Spanish Quartzite at Queen's Park","","43.661965",-79.392834,"Gandesa in eastern Spain was the site of the 1938 Spanish Civil War battle between the fascist nationalist forces of General Franco and Republican forces which included the International Brigade drawn from volunteers from the UK, Canada and the USA. A block of pink Gandesa <a href=""/def/quartzite"">Quartzite</a> on the northwestern corner of Queen's Park in Toronto commemorates the contributions of Canadian volunteers in the battle.  ","y",NA,NA,211.34,0,-1.65,"n",16,"",5,NA,"sitePictures/s84a.png","sitePictures/s84b.png","sitePictures/s84c.png","sitePictures/s84d.png"
"397","Historic","368","S85","The Griffin","","43.662159",-79.391601,"The griffin is a mythical winged creature with an eagle-like beak and body like that of a lion, and has long been used as a symbol of vigilance and protection. It is derived from the Middle East (from Ancient Persia) where there are stories of such creatures with nests made of gold guarding the rocks and minerals of their territory. Consequently it is widely used on buildings as a symbolic safeguard of its contents and inhabitants. It is common on many old Toronto buildings most notably on the southern face of Queen's Park carved in Credit Valley Red <a href=""/def/sandstone"">Sandstone</a> (Site <a href=""/S51"">S51</a>).","y",NA,NA,330.47,2,-18.61,"n",16,"",3,NA,"sitePictures/s85a.png","sitePictures/s85b.png","sitePictures/s85c.png","sitePictures/s85d.png"
"398","Historic","369","S86","Toronto Stock Exchange","","43.647834",-79.379911,"Though made out of Indiana <a href=""/def/limestone"">Limestone</a> (which superficially resembles Ontario's Queenston <a href=""/def/limestone"">Limestone</a>) the friezes on the exterior of the classic Art Deco building finished in 1924 are of some note and amusement.  Carved by Charles Comfort they depict the principal resources of Canada including a banker with his hand seemingly in the pocket of a miner.  It was the first air-conditioned building in Canada. It is located on 234 Bay Street.","y",43.647914,-79.379942,275.73,0,-38.08,"n",16,"",3,NA,"sitePictures/s86a.png","sitePictures/s86b.png","sitePictures/s86c.png","sitePictures/s86d.png"
"399","Historic","370","S87","University College","University of Toronto","43.662598",-79.395404,"Built in 1856-9 to house the University of Toronto this impressive building said to be of Romanesque design, is made predominantly of Ohio <a href=""/def/sandstone"">Sandstone</a> from the USA with pale-colored Whirlpool <a href=""/def/sandstone"">Sandstone</a> of <a href=""/def/silurian"">Silurian</a> age quarried from the base of the Niagara <a href=""/def/escarpment"">Escarpment</a> near Forks of the Credit (See Site <a href=""/S51"">S51</a>) and <a href=""/def/sandstone"">Sandstone</a> from Ohio. Note the highly decorated Norman arch above the main entranceway.","y",43.661065,-79.394878,336.91,0,-5.27,"n",17,"b",3,NA,"sitePictures/s87a.png","sitePictures/s87b.png","sitePictures/s87c.png","sitePictures/s87d.png"
"400","Historic","371","S88","Victoria College","University of Toronto","43.666944",-79.391944,"Victoria College was formerly based in Cobourg, Ontario before moving to the University of Toronto in 1892. The centre piece of the Victoria College on the northeast side of Queen's Park Crescent in Toronto is a resplendent building in the Romanesque style made of red colored 'Credit Valley Red' (Site <a href=""/S51"">S51</a>) of <a href=""/def/silurian"">Silurian</a> age from the base of the Niagara <a href=""/def/escarpment"">Escarpment</a> though Triassic <a href=""/def/sandstone"">Sandstone</a> ('brownstone' ) was also used. The Credit Valley <a href=""/def/sandstone"">Sandstone</a> is relatively soft and was much favored for carving by stone masons.  It is no longer obtainable and the Sackville <a href=""/def/sandstone"">Sandstone</a> from New Brunswick has been used for repairs.","y",43.667518,-79.392183,154.25,0,0,"n",16,"b",3,NA,"sitePictures/s88a.png","sitePictures/s88b.png","sitePictures/s88c.png","sitePictures/s88d.png"
"401","Historic","372","S89","W.A. Parks","","43.667463",-79.393911,"No reference to building stones in Ontario would be complete without reference to W.A. Parks whose work is commemorated by a plaque outside the front entrance to the Royal Ontario Museum (Site <a href=""/S65"">S65</a>). He identified the many rock types across the <a href=""/def/province"">Province</a> that could be used for construction.","y",NA,NA,264.6,0,-6.45,"n",16,"",3,NA,"sitePictures/s89a.png","sitePictures/s89b.png","sitePictures/s89c.png","sitePictures/s89d.png"
"402","Historic","373","S90","Willowbank","Queenston","43.16773",-79.05796,"This is an imposing Greek Revival styled mansion distinguished by eight hand-carved wooden columns named after the willows that once grew on the site in Queenston overlooking the Niagara River. Finished in 1834 for Alexander Hamilton a famous local family (after which the city is named) and constructed of local Whirlpool <a href=""/def/sandstone"">Sandstone</a> from the base of the nearby Niagara <a href=""/def/escarpment"">Escarpment</a>, it is regarded as the finest example of a<a href=""/def/_period ""> Period </a>mansion in North America.","y",43.167552,-79.056255,270.68,0,-8.1,"n",16,"",3,NA,"sitePictures/s90a.png","sitePictures/s90b.png","sitePictures/s90c.png","sitePictures/s90d.png"
"403","Nature","374","S91","The Ravines of Toronto","Pulling The Plug on Glacial Lake Iroquois","43.698348",-79.351192,"The Humber, Credit, Don, Rouge and the other creeks of the Toronto area all flow through deep, quite narrow and steep-sided valleys called 'ravines.' These (with the exception of the Don) have largely remained undeveloped and act as recreational corridors and habitat for wildlife. They are the product of marked changes in lake level.  Some 12,500 years ago, much of the Toronto area was flooded by glacial Lake Iroquois which was some 45 metres deeper (higher) than the modern Lake Ontario. This was because the last <a href=""/def/ice_sheet"">Ice sheet</a> still blocked the St.Lawrence River valley (the outlet of the Great Lakes) creating an enormous ice-dammed lake. The shoreline of this lake is still visible today (Site <a href=""/S14"">S14</a>). The lake drained very quickly when the plug (ice) was pulled out of the St.Lawrence and lake levels dropped to well below that of the modern Lake Ontario.  Much of the area now covered by Lake Ontario was in fact dry land because sea level was still low; huge volumes of water which would otherwise flow to the sea still remained trapped in the <a href=""/def/ice_sheet"">Ice sheet</a> that lingered over northern Canada). Rivers had to erode down to this new level creating the narrow ravines that typify Toronto today. They are a relic of the last <a href=""/def/ice_age"">Ice age</a>.","n",NA,NA,NA,NA,NA,"n",16,"",4,NA,"sitePictures/s91a.png","sitePictures/s91b.png","sitePictures/s91c.png","sitePictures/s91d.png"
"404","Historic","375","S92","Battle of Stoney Creek","The Beginning of The End","43.218493",-79.764344,"The Battle of Stoney Creek (6th June 1813) at the base of the Niagara <a href=""/def/escarpment"">Escarpment</a> was a classic example of stealth by British and Canadian forces in pursuing and beating a numerically superior invading American force during the War of 1812. Advancing from their base on high ground at Burlington Heights (Site <a href=""/S25"">S25</a>) British regulars, militia and First Nations made a surprise night attack confusing the Americans and capturing two of their generals. The next morning the Americans retreated back to the Niagara River to Fort George and never again advanced this far into the Niagara Peninsula.","y",43.218428,-79.764563,29.8,0,-1.34,"n",17,"",3,NA,"sitePictures/s92a.png","sitePictures/s92b.png","sitePictures/s92c.png","sitePictures/s92d.png"
"405","Historic","376","S93","The David Dunlap Observatory","","43.862787",-79.422747,"The David Dunlap Observatory was established in 1935, formerly owned and operated by the University of Toronto. It was at one time the second largest telescope in the world and still the largest in Canada. It is currently owned and operated by the Royal Astronomical Society of Canada which provides public viewings and tours periodically, especially on nights of significant celestial events.","n",NA,NA,NA,NA,NA,"n",17,"",3,NA,"sitePictures/s93a.png","sitePictures/s93b.png","sitePictures/s93c.png","sitePictures/s93d.png"
"406","Rocks and Minerals","377","S94","Slowly Dissolving","","43.64271",-79.399862,"Some rocks are hard, especially those found across the Canadian <a href=""/def/shield"">Shield</a> but others, mostly in southern Ontario are much softer. In particular <a href=""/def/limestones"">Limestones</a> are rich in the<a href=""/def/_mineral ""> Mineral </a>calcite (calcium carbonate) which is prone to being dissolved by water.<a href=""/def/_karst ""> Karst </a>landforms such as underground caves are one result of the slow <a href=""/def/dissolution"">Dissolution</a> of rocks such as <a href=""/def/limestone"">Limestone</a> (Sites <a href=""/S47"">S47</a>, <a href=""/E3"">E3</a>).  The widening of <a href=""/def/joints"">Joints</a> in <a href=""/def/limestone"">Limestone</a> produces wide <a href=""/def/fissures"">Fissures</a> (called 'grikes') leaving blocks in between (referred to as 'clints') like large paving stones. These are very common across the many <a href=""/def/limestone"">Limestone</a> plains of southern Ontario particularly on Manitoulin Island.  Such activity is part of what geologists call '<a href=""/def/chemical_weathering"">Chemical Weathering</a>.'  Many monuments and gravestones have been rapidly weathered and are now almost undecipherable; <a href=""/def/weathering"">Weathering</a> has been especially rapid in cities because of the poorer air quality and where sulphur particles produced by combustion of coal or gasoline creates acid rain (Site <a href=""/S60"">S60</a>).","n",NA,NA,NA,NA,NA,"n",16,"",5,NA,"sitePictures/s94a.png","sitePictures/s94b.png","sitePictures/s94c.png","sitePictures/s94d.png"
"407","Historic","378","S95","Bending the Don'","","43.65070278",-79.34705,"At the foot of the Don Valley Parkway immediately south of Gardiner Expressway is the infamous 'bend in the Don River.' In 1912 engineers diverted the Don River westwards to enter Toronto Harbour; previously it flowed south into Ashbridge's Bay and large wetland and important stopover for migrating birds. The Bay was then heavily polluted with human and animal wastes and was filled in to create the Port Industrial District (Site <a href=""/S11"">S11</a>) for new industrial development.  Today the Port Industrial District is heavily contaminated and various plans are in place to clean it up. The right angle<a href=""/def/_bed ""> Bed </a>in the Don essentially dams the river allowing<a href=""/def/_debris ""> Debris </a>and contaminated<a href=""/def/_sediment ""> Sediment </a>to accumulate in the bend which has to be dredged to keep it clear. It is an abject lesson in how not to deal with urban rivers.","y",43.650083,-79.346515,300.67,0,-7.71,"n",16,"",3,NA,"sitePictures/s95a.png","sitePictures/s95b.png","sitePictures/s95c.png","sitePictures/s95d.png"
"408","Historic","379","S96","East Point","","43.75929722",-79.15268333,"East Point Park projects out into Lake Ontario and defines the far eastern end of Scarborough Bluffs (Sites <a href=""/S7"">S7</a>, <a href=""/S8"">S8</a>, <a href=""/S9"">S9</a>,<a href=""/S10"">S10</a>) and affords fine views westwards along the cliffs of the Bluffs coastline. East Point is made of grey-coloured glacial<a href=""/def/_till ""> Till </a>left by the last <a href=""/def/ice_sheet"">Ice sheet</a> about 12,000 years ago. Look out for numerous glacial <a href=""/def/erratic"">Erratic</a> boulders typically composed of <a href=""/def/gneiss"">Gneiss</a> and <a href=""/def/granite"">Granite</a> in the<a href=""/def/_till ""> Till </a>and along the foreshore, transported southwards by the <a href=""/def/ice_sheet"">Ice sheet</a>.  Note that the softer, grey coloured <a href=""/def/limestone"">Limestone</a> stones and boulders in the<a href=""/def/_till ""> Till </a>are extensively scratched (striated) by glacial transport. Boulders were once used for buildings (Site <a href=""/S6"">S6</a>). Hike or bike the cliff-top trail that makes up the Waterfront Trail.","n",NA,NA,NA,NA,NA,"y",16,"",3,NA,"sitePictures/s96a.png","sitePictures/s96b.png","sitePictures/s96c.png","sitePictures/s96d.png"
"409","Nature","380","S97","Hilton Falls","","43.505322",-79.961944,"Hilton Falls is one of the best kept secrets of the Niagara <a href=""/def/escarpment"">Escarpment</a>, at the end of a short pleasant hike from the parking at Hilton Falls Reservoir. A small creek fed by wetlands flows over the edge of the <a href=""/def/escarpment"">Escarpment</a> creating a scenic bowl-shaped waterfall.","n",NA,NA,NA,NA,NA,"n",14,"",4,NA,"sitePictures/s97a.png","sitePictures/s97b.png","sitePictures/s97c.png","sitePictures/s97d.png"
"410","Earth History","381","S98","Mt. Nemo","The Milton Outlier","43.505235",-79.940675,"At several places along the Niagara <a href=""/def/escarpment"">Escarpment</a>, glacial melt waters cut large deep channels. A particularly impressive channel at Milton has cut right through the <a href=""/def/escarpment"">Escarpment</a>, and now separates what is called an '<a href=""/def/outlier"">Outlier</a>'. It is distinctly shaped like a large island emerging from the surrounding lowlands called the Mount Nemo Plateau. The area has been recently protected from quarrying, keeping this gem of the Greenbelt of Southern Ontario intact for future generations. Rattlesnake Point (Site <a href=""/S22"">S22</a>) Can be found on the south eastern side of the plateau. Crawford Lake (Site <a href=""/S23"">S23</a>) is also nearby.","n",NA,NA,NA,NA,NA,"n",15,"",1,NA,"sitePictures/s98a.png","sitePictures/s98b.png","sitePictures/s98c.png","sitePictures/s98d.png"
"411","Rocks and Minerals","382","S99","Peter Russell Rock Garden","","43.471541",-80.543527,"This impressive collection of rocks mostly from Ontario is named after a Curator Peter Russell at the University of Waterloo. It was established to commemorate the 25th anniversary of the founding of the University.","n",NA,NA,NA,NA,NA,"n",16,"",5,NA,"sitePictures/s99a.png","sitePictures/s99b.png","sitePictures/s99c.png","sitePictures/s99d.png"
"412","Nature","383","S100","Highland Creek","University of Toronto Scarborough","43.781246",-79.185937,"Highland Creek is a typical 'misfit' (A relatively small stream flowing within a deep valley) river. The valley owes its depth due to incision following the drainage of Glacial Lake Iroquois 12,000 years ago. There are many hiking trails on the floor of the valley. The flow of highland creek has been severely impacted by the 'hardening' of the local urban watershed and the creek is subjected to repeated flooding and <a href=""/def/erosion"">Erosion</a> of its banks. Similar ravines are found all over the Greater Toronto Area (<a href=""/S91"">S91</a>).","n",NA,NA,NA,NA,NA,"n",16,"b",4,NA,"sitePictures/s100a.png","sitePictures/s100b.png","sitePictures/s100c.png","sitePictures/s100d.png"
